language,watchers_count,open_issues_count,commit_count,contributors_count,stars_count,forks_count,size,days_since_last_commit,source_code_url,owner,repo
JavaScript,7,0,14,0,7,2,855,1101,https://github.com/cryptense/krylltoken,cryptense,krylltoken
JavaScript,28,9,114,4,28,11,1671,1209,https://github.com/gonetwork-project/gonetwork-framework,gonetwork-project,gonetwork-framework
Solidity,1,0,2,0,1,1,19,116,https://github.com/roningamez/roningmz-token,roningamez,roningmz-token
C++,21,0,32,2,21,25,6710,303,https://github.com/xdna-core/xdna,xdna-core,xdna
"",0,0,0,0,0,0,0,2459602,https://github.com/bpfkorea/agora,bpfkorea,agora
"",0,0,1,0,0,0,13,56,https://github.com/frostyfloki/frostyfloki,frostyfloki,frostyfloki
"",0,0,0,0,0,0,0,2459602,https://github.com/fumafinance/fuma,fumafinance,fuma
"",0,0,1,0,0,0,0,85,https://github.com/nikethedike1/drachma,nikethedike1,drachma
"",265,0,9,0,265,26,18,757,https://github.com/mysynchronium/synchrobit,mysynchronium,synchrobit
JavaScript,12,1,14,3,12,9,294,1245,https://github.com/streamity/stm-smartcontract,streamity,stm-smartcontract
"",0,0,1,0,0,1,10,274,https://github.com/multi1000aire/safeeth,multi1000aire,safeeth
Solidity,0,0,2,0,0,0,11,55,https://github.com/rockyinu/rocky-inu,rockyinu,rocky-inu
C++,4,0,18,0,4,3,3394,1339,https://github.com/hicoindev/hicoin,hicoindev,hicoin
Solidity,0,0,3,0,0,0,9,63,https://github.com/flokimoon-foundation/flokimoon-token,flokimoon-foundation,flokimoon-token
C++,66,10,3,2,66,73,67299,981,https://github.com/v-dimension/vds-core,v-dimension,vds-core
TypeScript,0,0,16,0,0,0,3760,86,https://github.com/drmanhattan115/flokiswap-uikit,drmanhattan115,flokiswap-uikit
C++,4,1,39,4,4,4,42446,1152,https://github.com/goldblockscoin/goldblocks,goldblockscoin,goldblocks
C++,11326,376,20554,225,11326,3682,309410,187,https://github.com/eosio/eos,eosio,eos
"",0,0,1,0,0,0,0,460,https://github.com/dg-pay/dgpay,dg-pay,dgpay
Solidity,14,3,89,3,14,2,6789,136,https://github.com/tensetio/tenset,tensetio,tenset
"",0,0,0,0,0,0,0,2459602,https://github.com/enjin/contracts-efi,enjin,contracts-efi
"",0,0,0,0,0,0,0,2459602,https://github.com/rubycoinorg/rubycoin,rubycoinorg,rubycoin
Solidity,1,0,15,2,1,0,3011,262,https://github.com/basketcoinbskt/bsktcoin,basketcoinbskt,bsktcoin
JavaScript,22,1,140,3,22,2,466,1026,https://github.com/oneledger/olt,oneledger,olt
C++,5,0,19908,357,5,5,76456,566,https://github.com/creamcoin/cream,creamcoin,cream
"",0,0,0,0,0,0,0,2459602,https://github.com/monkeyproject/monkeyv2,monkeyproject,monkeyv2
"",1,0,2,0,1,0,9,55,https://github.com/chickenzillaclub/chickenzillatoken,chickenzillaclub,chickenzillatoken
"",0,0,0,0,0,0,0,2459602,https://github.com/bitcoinvbr/bitcoinv,bitcoinvbr,bitcoinv
C++,2,0,600,21,2,2,13541,125,https://github.com/electra01/electra-core,electra01,electra-core
